Text,Label,,,,,
Looking for an experienced project manager to lead and oversee our upcoming product launch.,Job,,,,,
We have an immediate opening for a customer support representative with excellent communication skills,Job,,,,,
Seeking a talented graphic designer to create visually stunning designs for our digital marketing campaigns.,Job,,,,,
We are currently hiring for a software engineer position with experience in Python and web development.,Job,,,,,
We are hiring a content writer to create compelling and engaging content for our blog and social media platforms.,Job,,,,,
Join our dynamic sales team and help us expand our customer base and drive revenue growth.,Job,,,,,
We are hiring! Join our dynamic team and take your career to new heights.,Job,,,,,
Looking for talented individuals to fill exciting job opportunities in our company.,Job,,,,,
Join our fast-growing organization and make a real impact in the industry.,Job,,,,,
Seeking motivated candidates with a passion for innovation and a drive for success.,Job,,,,,
We have multiple job openings in various departments. Find your perfect fit today.,Job,,,,,
Ready for a new challenge? Explore our job listings and find your dream job.,Job,,,,,
We value diversity and are committed to creating an inclusive work environment.,Job,,,,,
Join a collaborative team that fosters creativity and encourages professional growth.,Job,,,,,
We offer competitive compensation packages and excellent benefits for our employees.,Job,,,,,
Looking for candidates with strong leadership skills to join our management team.,Job,,,,,
Seeking experienced professionals who can bring fresh ideas and expertise to the table.,Job,,,,,
Are you a problem-solver with excellent communication skills? We want to hear from you.,Job,,,,,
Join our supportive work culture that values work-life balance and employee well-being.,Job,,,,,
We believe in investing in our employees' development through training and mentorship.,Job,,,,,
Seeking candidates with a strong work ethic and a commitment to delivering quality results.,Job,,,,,
Join our mission-driven organization and make a positive impact on the world.,Job,,,,,
We are committed to fostering a culture of continuous learning and professional growth.,Job,,,,,
Looking for self-motivated individuals who thrive in a fast-paced and dynamic environment.,Job,,,,,
Seeking candidates with a proven track record of success in their respective fields.,Job,,,,,
"Join a company that values innovation, collaboration, and a forward-thinking mindset.",Job,,,,,
We are dedicated to providing equal employment opportunities and promoting diversity.,Job,,,,,
Seeking candidates who are passionate about customer service and exceeding expectations.,Job,,,,,
Join a team that embraces new technologies and embraces digital transformation.,Job,,,,,
Looking for detail-oriented individuals with strong organizational skills for administrative roles.,Job,,,,,
Seeking candidates with a strong background in sales and a drive to exceed targets.,Job,,,,,
Join our customer-focused team and provide exceptional service to our clients.,Job,,,,,
We believe in empowering our employees to take ownership and initiative in their roles.,Job,,,,,
Looking for creative thinkers who can bring fresh perspectives to our marketing team.,Job,,,,,
Seeking candidates with strong analytical skills and a data-driven mindset for our analytics department.,Job,,,,,
Join a company that values teamwork and collaboration to achieve shared goals.,Job,,,,,
We are committed to fostering an inclusive and supportive work environment for all employees.,Job,,,,,
Seeking candidates with a passion for sustainability and a commitment to environmental responsibility.,Job,,,,,
Join our innovative research and development team and contribute to cutting-edge advancements.,Job,,,,,
Looking for candidates with exceptional problem-solving skills and a knack for finding solutions.,Job,,,,,
Seeking individuals with strong project management skills to lead and execute key initiatives.,Job,,,,,
"Join a company that values integrity, transparency, and ethical business practices.",Job,,,,,
We are committed to promoting a healthy work-life balance and employee well-being.,Job,,,,,
Seeking candidates with excellent communication and interpersonal skills for our customer service roles.,Job,,,,,
Join our entrepreneurial team and be part of a company that is changing the industry landscape.,Job,,,,,
Looking for candidates with a passion for continuous improvement and a drive for efficiency.,Job,,,,,
Seeking individuals with strong technical skills and a passion for emerging technologies.,Job,,,,,
Join our collaborative culture where everyone's ideas and contributions are valued.,Job,,,,,
We believe in recognizing and rewarding exceptional performance and achievements.,Job,,,,,
Looking for candidates with a strong attention to detail and a commitment to quality.,Job,,,,,
Seeking individuals with a positive attitude and a willingness to go the extra mile.,Job,,,,,
Artificial Intelligence is revolutionizing industries and transforming the way we live and work.,AI,,,,,
Machine learning algorithms are used in AI systems to analyze large datasets and make predictions.,AI,,,,,
"Deep learning models, a subset of AI, have achieved remarkable breakthroughs in tasks like image recognition and natural language processing.",AI,,,,,
AI-powered chatbots are being used by businesses to provide instant customer support and enhance user experiences.,AI,,,,,
Self-driving cars rely on AI technologies such as computer vision and sensor fusion to navigate and make decisions on the road.,AI,,,,,
The role of AI in predictive analytics: harnessing data to make informed business decisions.,AI,,,,,
"AI and creativity: exploring how machines are generating art, music, and literature.",AI,,,,,
The impact of AI on employment: preparing for the future of work in the age of automation.,AI,,,,,
Reinforcement learning: how AI agents learn from interactions with their environment.,AI,,,,,
"AI in agriculture: optimizing crop yields, monitoring livestock, and improving sustainability.",AI,,,,,
Understanding neural networks: the building blocks of deep learning algorithms.,AI,,,,,
AI and the internet of things (IoT): creating a smart and interconnected world.,AI,,,,,
The future of AI: advancements in quantum computing and its implications.,AI,,,,,
AI and personalized healthcare: tailoring treatments based on individual patient data.,AI,,,,,
"The role of AI in social media: analyzing trends, sentiment analysis, and content recommendation.",AI,,,,,
The intersection of AI and neuroscience: unlocking the mysteries of the human brain.,AI,,,,,
AI in logistics and supply chain management: optimizing operations and reducing costs.,AI,,,,,
Explainable AI: making machine learning models more transparent and interpretable.,AI,,,,,
"The ethics of AI in decision-making: accountability, bias, and responsible AI governance.",AI,,,,,
AI in customer segmentation: leveraging data to target specific customer groups.,AI,,,,,
The role of AI in smart cities: optimizing urban infrastructure and improving quality of life.,AI,,,,,
AI and virtual assistants: how voice recognition and natural language understanding are shaping the way we interact with technology.,AI,,,,,
AI in drug discovery: accelerating the development of new pharmaceuticals and treatments.,AI,,,,,
"The future of AI in entertainment: virtual reality, augmented reality, and immersive experiences.",AI,,,,,
AI and predictive maintenance: leveraging machine learning to identify and prevent equipment failures.,AI,,,,,
The impact of AI on privacy and data security: balancing innovation with user protection.,AI,,,,,
AI in energy management: optimizing power distribution and reducing carbon footprint.,AI,,,,,
"AI in space exploration: autonomous rovers, satellite imaging, and deep space exploration.",AI,,,,,
The role of AI in personalized recommendations: enhancing user experiences across various platforms.,AI,,,,,
The promise of AI in early disease detection and prevention: improving healthcare outcomes.,AI,,,,,
AI and natural language generation: how machines are writing human-like content.,AI,,,,,
AI-powered virtual assistants in the workplace: streamlining tasks and enhancing productivity.,AI,,,,,
Artificial Intelligence (AI) is revolutionizing industries and shaping the future of technology.,AI,,,,,
How AI is transforming healthcare: from diagnostics to personalized treatment plans.,AI,,,,,
The role of AI in improving customer experiences and enhancing satisfaction levels.,AI,,,,,
Exploring the ethical implications of AI and the importance of responsible AI development.,AI,,,,,
How AI-powered chatbots are revolutionizing customer support and improving response times.,AI,,,,,
The potential of AI in enhancing cybersecurity and mitigating evolving digital threats.,AI,,,,,
AI and machine learning algorithms: powering data-driven decision-making in business.,AI,,,,,
Demystifying deep learning: understanding the concepts behind neural networks.,AI,,,,,
The impact of AI on job automation: exploring the possibilities and addressing concerns.,AI,,,,,
AI in education: how intelligent tutoring systems are reshaping the learning experience.,AI,,,,,
Natural Language Processing (NLP): understanding how AI understands and generates human language.,AI,,,,,
Exploring the applications of AI in autonomous vehicles and the future of transportation.,AI,,,,,
AI and robotics: the convergence of technologies shaping the future of automation.,AI,,,,,
The role of AI in personalized marketing: leveraging data for targeted advertising campaigns.,AI,,,,,
AI-assisted medical imaging: improving accuracy and efficiency in disease diagnosis.,AI,,,,,
The potential of AI in environmental sustainability: optimizing resource management.,AI,,,,,
Overcoming bias in AI algorithms: the importance of fairness and accountability.,AI,,,,,
"AI is being used in healthcare to assist in diagnosis, drug discovery, and personalised medicine.",AI,,,,,
"Engineering is the application of scientific and mathematical principles to design and create innovative solutions to real-world problems.""",Engineering,,,,,
"Mechanical engineers design and develop machinery and mechanical systems, ranging from cars to industrial equipment.",Engineering,,,,,
"Civil engineers are responsible for designing and constructing infrastructure such as buildings, bridges, and roads.",Engineering,,,,,
"Electrical engineers work with electrical systems, designing and developing technologies for power generation, distribution, and communication.",Engineering,,,,,
"The fascinating world of engineering: innovation, problem-solving, and shaping the future.",Engineering,,,,,
The role of engineers in building sustainable infrastructure for a better tomorrow.,Engineering,,,,,
From concept to reality: the process of engineering design and development.,Engineering,,,,,
"Exploring the various disciplines of engineering: civil, mechanical, electrical, and more.",Engineering,,,,,
The importance of engineering ethics: balancing societal needs and responsible practices.,Engineering,,,,,
Breaking barriers: the contributions of women in engineering and promoting diversity.,Engineering,,,,,
The impact of engineering in improving healthcare technologies and saving lives.,Engineering,,,,,
The future of transportation: engineering advancements in electric vehicles and autonomous systems.,Engineering,,,,,
"The role of engineers in renewable energy: harnessing the power of solar, wind, and hydroelectricity.",Engineering,,,,,
Engineering innovations in space exploration: from rockets to satellites and beyond.,Engineering,,,,,
Building sustainable cities: the integration of engineering solutions for urban development.,Engineering,,,,,
The art of structural engineering: designing and constructing awe-inspiring bridges and skyscrapers.,Engineering,,,,,
Engineering in the digital age: the convergence of technology and traditional disciplines.,Engineering,,,,,
The impact of engineering in disaster response and recovery efforts.,Engineering,,,,,
Exploring the field of biomedical engineering: merging medicine and technology for improved healthcare.,Engineering,,,,,
The role of engineers in combating climate change through sustainable practices and green technologies.,Engineering,,,,,
Engineering for water management: ensuring clean and accessible water for all.,Engineering,,,,,
The fascinating world of nanotechnology and its applications in engineering.,Engineering,,,,,
Engineering in the aerospace industry: pushing the boundaries of flight and space exploration.,Engineering,,,,,
The importance of teamwork and collaboration in engineering projects.,Engineering,,,,,
Engineering for accessibility: creating inclusive designs and technologies for people with disabilities.,Engineering,,,,,
The challenges and innovations in materials engineering: from polymers to composites.,Engineering,,,,,
Engineering in agriculture: optimizing farming practices and food production.,Engineering,,,,,
Exploring the field of robotics and automation: revolutionizing industries and improving efficiency.,Engineering,,,,,
The intersection of engineering and artificial intelligence: powering intelligent systems and automation.,Engineering,,,,,
The role of engineers in disaster-proofing infrastructure and designing resilient systems.,Engineering,,,,,
The impact of engineering in reducing carbon emissions and promoting sustainability.,Engineering,,,,,
Engineering in the automotive industry: advancements in electric vehicles and autonomous driving.,Engineering,,,,,
"The exciting field of mechatronics: integrating mechanical, electrical, and computer engineering.",Engineering,,,,,
Engineering for clean energy: developing innovative solutions for a greener future.,Engineering,,,,,
The importance of continuous learning and professional development in engineering careers.,Engineering,,,,,
Engineering for smart cities: leveraging technology for efficient urban planning and management.,Engineering,,,,,
The role of engineers in developing innovative medical devices and prosthetics.,Engineering,,,,,
Exploring the field of aerospace engineering: designing aircraft and spacecraft for exploration.,Engineering,,,,,
Engineering in telecommunications: advancements in wireless communication and networks.,Engineering,,,,,
The intersection of engineering and cybersecurity: protecting digital systems and data.,Engineering,,,,,
The impact of engineering in disaster-resistant construction and infrastructure.,Engineering,,,,,
Exploring the field of geotechnical engineering: understanding soil behavior and designing foundations.,Engineering,,,,,
The importance of sustainability in engineering: minimizing environmental impact in design and construction.,Engineering,,,,,
Engineering innovations in renewable energy storage and grid integration.,Engineering,,,,,
The exciting field of biotechnology and its applications in engineering.,Engineering,,,,,
Engineering for efficient manufacturing processes: improving productivity and quality.,Engineering,,,,,
The role of engineers in developing clean and efficient water treatment technologies.,Engineering,,,,,
Exploring the field of computer engineering: designing and optimizing computer hardware and software.,Engineering,,,,,
"Software engineers develop computer programs and software applications, playing a crucial role in the digital age.",Engineering,,,,,
"Chemical engineers work on the design and operation of chemical processes used in industries such as pharmaceuticals, food, and energy.",Engineering,,,,,
COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,Toxic,,,,,
"Don't look, come or think of comming back! Tosser.",Toxic,,,,,
"FUCK YOUR FILTHY MOTHER IN THE ASS, DRY!",Toxic,,,,,
Tony Sidaway is obviously a fistfuckee. He loves an arm up his ass.,Toxic,,,,,
GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!,Toxic,,,,,
Stupid peace of shit stop deleting my stuff asshole go die and fall in a hole go to hell!,Toxic,,,,,
GET FUCKED UP. GET FUCKEEED UP.  GOT A DRINK THAT YOU CANT PUT DOWN???/ GET FUCK UP GET FUCKED UP.  I'M FUCKED UP RIGHT NOW!,Toxic,,,,,
"My Band Page's deletion. You thought I was gone. 

Deleting the comment I posted on your 'talk page' does not delete my feelings for your hasty decision to delete my page. You, sir, are still a cock-sucking douche fuck. Sit back for a second and think about what your life has become. ............ Done? That didn't take long did it? Nope. Because, as I am most certainly aware, your life is a shitstorm of sitting in front of the computer masturbating to fictional creatures. Your attempts to get rid of me are mediocre at best. You are constantly sucking the dick of failure. You don't want a personal attack, huh? Well, too bad, Fuckcock McDickerson. You've got one. From me. You can go ahead and delete my profile from wikipedia. I'll just make another one and come right back to 'Syrthiss's talk page and insult the dick off of you. How could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band. Does that make you happy? Fucking with people because you're an overweight, single, old man in a dead-end job. Did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you? Yes you did. I don't make empty threats, so I won't be saying anything along the lines of 'i'll hurt you' or 'i'll eat the children from within your sister's womb', but I will say that you are a asshole, son-of-a-bitch, mother fucking cock sucker. So, go eat some more food and drown your sorrows you premature ejaculating, bald headed fuck.

You should do something nice for yourself, maybe go grab a couple of Horny Goat Weeds from your local convenience store and jack off for a little longer than three minutes tonight.

Sincerely,
An Asshole That's Better Than You In Every Way.",Toxic,,,,,
"All of my edits are good.  Cunts like you who revert good edits because you're too stupid to understand how to write well , and then revert other edits just because you've decided to bear a playground grudge, are the problem.  Maybe one day you'll realise the damage you did to a noble project.  201.215.187.159",Toxic,,,,,
"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",Toxic,,,,,
"Would you both shut up, you don't run wikipedia, especially a stupid kid.",Toxic,,,,,
A pair of jew-hating weiner nazi schmucks.,Toxic,,,,,
"""

SORRY PUCK BUT NO ONE EVER SAID DICK WAS NUMBER ONE!! But he is clearly listed as being """"second only to Batman"""" and a """"master detective and martial artist"""" and been trained in all the mentioned combat discplines. No need to mention in skills/abilities about the battles he's lost and won because thats not what an encylopia is supposed to do. 

Also, what your problem is your going by low end showings and not HIGH end showings where he's proven more than a match for a meta like Slade and pinned Shiva down in one of his earliest appearences.
 """,Toxic,,,,,
"""UNBLOCK ME OR I'LL GET MY LAWYERS ON TO YOU FOR BLOCKING MY CONSTITUTIONAL RIGHT TO FREE SPEECH""",Toxic,,,,,
"You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that people like you exist in this world.",Toxic,,,,,
I think that your a Fagget get a oife and burn in Hell I hate you 'm sorry we cant have any more sex i'm running out of conndoms,Toxic,,,,,
"you are a stupid fuck 

and your mother's cunt stinks",Toxic,,,,,
"Your blatant POV pushing 

Neither of you guys has made any contribution to this Italian history article other than to shove your unhistorical unconstructive modern POV in my face.
This is a HISTORY article. HISTORY.
Have you heard of that?
This is the reason why so many people get pissed off about the pedantry and idiocy and triviality of Wikipedia.
J*sus. Get a f*cking life.",Toxic,,,,,
Give me a permanat block raseac....!!! remember me....!!! Muslims dont you worry for these images they are trying to hurt us but they cant look these images are fake and have nothing to do with Islam or our prophet even their article is so lame wikipedia is not an authentic source its an encyclopedia for the kids which has not authenticity anyone can edit or write whatever they think...just like raeasc you can see he does not knows what Islam is and he talks about it so forget about wiki its lame they have no authenticity...i recommend they should add pissed christ in jessus article....they should...,Toxic,,,,,
"Fuck you, block me, you faggot pussy!",Toxic,,,,,
"Kill all niggers. 

I have hard, that others have said this.. should this be included? That racists sometimes say these.",Toxic,,,,,
"Burn Deck 

If that'd guy's burn deck is like what I think it is than he is in for a blrude awakening!!! Leviathan motherfucker!!!",Toxic,,,,,
u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,Toxic,,,,,
Atheism is full of bias shit,Toxic,,,,,
Hey why you are spreading misconceptions and trying to spread false information to the people.You not even know who won the battle and who lost.you are the cheapest person on the earth.Bloody ignorant fool.Check sources before spreading rumors,Toxic,,,,,
"""

And you are? Let me know when you've crawled out of their arses. '''''' Dick Laurent is dead """,Toxic,,,,,
this user is such a worthless goddamn faggot fuck you faggot,Toxic,,,,,
"Fuck off

You are NOT an administrator. You DON'T have the authority to tell me what to do.",Toxic,,,,,
"Well you are ridiculous, in fact I suspect that you are Calton, please block me, I dont care....",Toxic,,,,,
Fuck you .Fuck you award go fuck yourself ,Toxic,,,,,
"Keep your eye on it, no one cares, OK? People can put what they want on here, and clean it up all you want but no one cares. God, you're so freakin' stupid!   Omnigan",Toxic,,,,,
MATT HARDY IS SO FUCKY!!!''Italic text[[Media:Example.ogg]]'''''MATT HARDY IS SO FUCKY!!!,Toxic,,,,,
"God is dead
I don't mean to startle anyone but God is dead. We should not worry about him anymore. Just thought I would let everyone know. Well, goodbye and good luck with your newfound crisis of faith! 24.77.205.229",Toxic,,,,,
"Have you seen the reference to their claim, you moron''?? This is not a source. It´s their POV. Once I have more time I will reduce your Pashtun nationalist POVs here on Wiki and give order to my uncles and cousins the execution of Pashtuns in the entire northern Afghanistan down to Gardez, Jalalabad, Lashkargah, Logar, Paghman, Laghman, Kunduz, Herat, Farah ... whereever immigrant descandants of violent Kuchis settled and took non-Pashtun lands away and traditional Tajik countries. 84.59.190.210",Toxic,,,,,
"Fuck you 

-User:The Bohemian Shinobis yeah, that's right, bitch! You are all pieces of shit!",Toxic,,,,,
"Dear Mokele,
You have no right to tell people to die in a fire. Just because that IP address is being used for vandilism does not mean you can talk to people like that. You are in fact a bigger loser than the person who you block.",Toxic,,,,,
"Thank you for your RACIST experimenting with the page Katherine Heigl on Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. Now go FUCK YOURSELF YOU RACIST CANUCK ASSHOLE1  U HAVE NOTHING BETTER TO DO THAN CENSOR THE TRUTH U GODDAMN KKKKANUCK PIECE O TRASH///  DICKHEAD MORON MOTHERFUCKER111LOL  YOU CANUCKS R REAL RETARDS1  FUK OFF DICKWEED!  EDIT ANOTHER 1 OF MY EIDTS AND YOU'LL BE EXPEL FROM WIKI BY JIMBO YOU SOB DICKHEAD11 
SO WATCH IT MOFO PIECE OF GARBAGE RACIST MOFO ASSHOLE.  IM TRYINBG TO BE NICE HERE SO TAKE WHAT i SAY AS A COMPLIMENT!Yamla",Toxic,,,,,
Be careful who you call a moron.,Toxic,,,,,
"Gay 

The existence of CDVF is further proof that  is a sad twat. He is also very ugly, and has a willy for a face.",Toxic,,,,,
I NEVER FUCKING MADE THIS MOTHER FUCKING ARTICLE I JUST FUCKING EDITED IT AND THAT WAS A FUCKING LONG TIME AGO FUCKING ASSHOLES! PISSING ME OFF @,Toxic,,,,,
Add Mobile porn as additional WP:ALSO link,Toxic,,,,,
"Nazi filth"""" is impolite  04:27, 20 Jan 2004 (UTC)",Toxic,,,,,
I don't care what you say here. I don't believe one sentence anymore.,Toxic,,,,,
HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE?,Toxic,,,,,
"You are a know it all.....Jimbo! 
Why don't you get a life instead of sitting in front of your computer all day. The high priestess of knowledge, indeed!",Toxic,,,,,
What a motherfucking piece of crap those fuckheads for blocking us!,Toxic,,,,,
"You sir are an imbecile, and a pervert.",Toxic,,,,,
"“Another crap article 
Parrots what promotion websites of capoeira schools say about myths of origin. And also that persecution thing. By the late 1800s, capoeira became a word for street brawling. Thus, authorities did not prohibit or sanction """"practice"""" of capoeira. In banning capoeira they were banning outright street brawls! It's why Mestre Bimba presented his art as Luta Regional Baiana. No decent carioca would be eager to sympathise with capoeira and malandrismo. I could attempt to alter the article but it's become such a mess by now.   “",Toxic,,,,,
"I'm also a sock puppet of this account…SURPRISE!!
-sincerely,
            The man that will track you down from the Internet and kill you",Toxic,,,,,
"Dictionaries
How dare you call my contribution spam!!! I am a Kurd and I made a lsit of kurdish dictionaries. you bloody turkish nationalist and atoricity commiting bone breaking Nazi. watch out folk this slimy Turk is trying to censor the internet this is not undemocratic Turkey here, no prison cells in wikipedia you stupid Turk! And you buggers want membership to the EEC",Toxic,,,,,
Kindness and empathy are essential values in fostering positive relationships and building a harmonious community.,Non-Toxic,,,,,
Engaging in activities that promote self-care and mental well-being is crucial for maintaining a healthy lifestyle.,Non-Toxic,,,,,
Respecting diversity and embracing inclusivity is the key to fostering a supportive and accepting society,Non-Toxic,,,,,
Encouraging open and honest communication allows for effective collaboration and problem-solving in various aspects of life.,Non-Toxic,,,,,
Practicing gratitude and expressing appreciation for the little things in life can bring immense joy and positivity.,Non-Toxic,,,,,
i only deleted personal attacks,Non-Toxic,,,,,
"Please, please, continue.  Tell me what you really think.",Non-Toxic,,,,,
I'm moving this to the talk page.,Non-Toxic,,,,,
"""
Very well. I see that consensus has formed to show that they are indeed not POv but bad judgement on my part. Thanks for the comments anyway.Coldplay Expért Let's talk """,Non-Toxic,,,,,
http://www.users.bigpond.com/MONTDALE/page8.html  Heritage from village Κρανιώνας in macedonian Дреновени. Sources claim that the village was pure Slavic.,Non-Toxic,,,,,
"Fatima bint Asad 
I noticed you added a large chunk to this article recently. Could you post your sources (webpages, books, etc.)? It would be really helpful. Thanks.  23:56, July 29, 2005 (UTC)",Non-Toxic,,,,,
